,question,answers,gpt_answers,acc@1,acc@3,acc@majority,acc@majority_3,metadata_qid,metadata_question,metadata_gold_answer,metadata_prev_model_answer,decomposition_0
59,"{'question': 'Who is the father of the father of Barack Obama?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who is Barack Obama?\nIntermediate answer: Barack Obama is the 44th President of the United States.\nFollow up: Who is the father of Barack Obama?\nIntermediate answer: The father of Barack Obama is Barack Obama Sr.\nFollow up: Who is the father of Barack Obama Sr.?\nIntermediate answer: The father of Barack Obama Sr. is Hussein Onyango Obama.\nSo the final answer is: Hussein Ony'], 'decompsition_steps': [[{'question': 'Who is Barack Obama?', 'answer': 'Barack Obama is the 44th President of the United States.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the father of Barack Obama?', 'answer': 'The father of Barack Obama is Barack Obama Sr.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the father of Barack Obama Sr.?', 'answer': 'The father of Barack Obama Sr. is Hussein Onyango Obama.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Hussein Ony'}]], 'traces_entailments': None}",,['Hussein Ony'],0.4,0.4,0.4,0.4,64,Who is the father of the father of Barack Obama?,Hussein Onyango Obama,,"
Are follow up questions needed here: Yes.
Follow up: Who is Barack Obama?
Intermediate answer: Barack Obama is the 44th President of the United States.
Follow up: Who is the father of Barack Obama?
Intermediate answer: The father of Barack Obama is Barack Obama Sr.
Follow up: Who is the father of Barack Obama Sr.?
Intermediate answer: The father of Barack Obama Sr. is Hussein Onyango Obama.
So the final answer is: Hussein Ony"
60,"{'question': 'In what country is the world largest desalination plant?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the world largest desalination plant?\nIntermediate answer: The world largest desalination plant is the Sorek Desalination Plant.\nFollow up: Where is the Sorek Desalination Plant?\nIntermediate answer: The Sorek Desalination Plant is in Israel.\nFollow up: In what country is Israel?\nIntermediate answer: Israel is in the Middle East.\nSo the final answer is: The Middle East.\n'], 'decompsition_steps': [[{'question': 'What is the world largest desalination plant?', 'answer': 'The world largest desalination plant is the Sorek Desalination Plant.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Where is the Sorek Desalination Plant?', 'answer': 'The Sorek Desalination Plant is in Israel.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'In what country is Israel?', 'answer': 'Israel is in the Middle East.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'The Middle East.'}]], 'traces_entailments': None}",,['The Middle East'],0,0,0,0,65,In what country is the world largest desalination plant?,Israel,,"
Are follow up questions needed here: Yes.
Follow up: What is the world largest desalination plant?
Intermediate answer: The world largest desalination plant is the Sorek Desalination Plant.
Follow up: Where is the Sorek Desalination Plant?
Intermediate answer: The Sorek Desalination Plant is in Israel.
Follow up: In what country is Israel?
Intermediate answer: Israel is in the Middle East.
So the final answer is: The Middle East.
"
61,"{'question': 'When was the philosopher that formulated the hard problem of consciousness born?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the philosopher that formulated the hard problem of consciousness?\nIntermediate answer: The philosopher that formulated the hard problem of consciousness is David Chalmers.\nFollow up: When was David Chalmers born?\nIntermediate answer: David Chalmers was born on April 20, 1966.\nSo the final answer is: April 20, 1966.\n'], 'decompsition_steps': [[{'question': 'Who was the philosopher that formulated the hard problem of consciousness?', 'answer': 'The philosopher that formulated the hard problem of consciousness is David Chalmers.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was David Chalmers born?', 'answer': 'David Chalmers was born on April 20, 1966.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'April 20, 1966.'}]], 'traces_entailments': None}",,"['April 20, 1966']",1,1,1,1,66,When was the philosopher that formulated the hard problem of consciousness born?,"April 20, 1966",,"
Are follow up questions needed here: Yes.
Follow up: Who was the philosopher that formulated the hard problem of consciousness?
Intermediate answer: The philosopher that formulated the hard problem of consciousness is David Chalmers.
Follow up: When was David Chalmers born?
Intermediate answer: David Chalmers was born on April 20, 1966.
So the final answer is: April 20, 1966.
"
62,"{'question': 'What is the political party of the American president who entered into the Paris agreement?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the Paris agreement?\nIntermediate answer: The Paris agreement is an agreement to reduce greenhouse gas emissions.\nFollow up: What is the political party of the American president who entered into the Paris agreement?\nIntermediate answer: The political party of the American president who entered into the Paris agreement is the Democratic Party.\nSo the final answer is: Democratic Party.\n'], 'decompsition_steps': [[{'question': 'What is the Paris agreement?', 'answer': 'The Paris agreement is an agreement to reduce greenhouse gas emissions.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the political party of the American president who entered into the Paris agreement?', 'answer': 'The political party of the American president who entered into the Paris agreement is the Democratic Party.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Democratic Party.'}]], 'traces_entailments': None}",,['Democratic Party'],1,1,1,1,67,What is the political party of the American president who entered into the Paris agreement?,Democratic Party,,"
Are follow up questions needed here: Yes.
Follow up: What is the Paris agreement?
Intermediate answer: The Paris agreement is an agreement to reduce greenhouse gas emissions.
Follow up: What is the political party of the American president who entered into the Paris agreement?
Intermediate answer: The political party of the American president who entered into the Paris agreement is the Democratic Party.
So the final answer is: Democratic Party.
"
63,"{'question': 'Who is the father of the father of George Washington?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who is the father of George Washington?\nIntermediate answer: The father of George Washington is Augustine Washington.\nFollow up: Who is the father of Augustine Washington?\nIntermediate answer: The father of Augustine Washington is Lawrence Washington.\nFollow up: Who is the father of Lawrence Washington?\nIntermediate answer: The father of Lawrence Washington is John Washington.\nFollow up: Who is the father of John Washington?\nIntermediate answer: The father of John Washington is Lawrence Washington.\nSo the final answer is:'], 'decompsition_steps': [[{'question': 'Who is the father of George Washington?', 'answer': 'The father of George Washington is Augustine Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the father of Augustine Washington?', 'answer': 'The father of Augustine Washington is Lawrence Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the father of Lawrence Washington?', 'answer': 'The father of Lawrence Washington is John Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the father of John Washington?', 'answer': 'The father of John Washington is Lawrence Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}]], 'traces_entailments': None}",,[],FALSE,FALSE,FALSE,FALSE,68,Who is the father of the father of George Washington?,Lawrence Washington,,"
Are follow up questions needed here: Yes.
Follow up: Who is the father of George Washington?
Intermediate answer: The father of George Washington is Augustine Washington.
Follow up: Who is the father of Augustine Washington?
Intermediate answer: The father of Augustine Washington is Lawrence Washington.
Follow up: Who is the father of Lawrence Washington?
Intermediate answer: The father of Lawrence Washington is John Washington.
Follow up: Who is the father of John Washington?
Intermediate answer: The father of John Washington is Lawrence Washington.
So the final answer is:"
64,"{'question': 'Who is the father of the originator of cybernetics?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who is the originator of cybernetics?\nIntermediate answer: The originator of cybernetics is Norbert Wiener.\nFollow up: Who is the father of Norbert Wiener?\nIntermediate answer: The father of Norbert Wiener is Leo Wiener.\nSo the final answer is: Leo Wiener.\n'], 'decompsition_steps': [[{'question': 'Who is the originator of cybernetics?', 'answer': 'The originator of cybernetics is Norbert Wiener.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the father of Norbert Wiener?', 'answer': 'The father of Norbert Wiener is Leo Wiener.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Leo Wiener.'}]], 'traces_entailments': None}",,['Leo Wiener'],1,1,1,1,69,Who is the father of the originator of cybernetics?,Leo Wiener,,"
Are follow up questions needed here: Yes.
Follow up: Who is the originator of cybernetics?
Intermediate answer: The originator of cybernetics is Norbert Wiener.
Follow up: Who is the father of Norbert Wiener?
Intermediate answer: The father of Norbert Wiener is Leo Wiener.
So the final answer is: Leo Wiener.
"
65,"{'question': 'What is the highest elevation (in meters) of the second largest island in the world?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the second largest island in the world?\nIntermediate answer: The second largest island in the world is New Guinea.\nFollow up: What is the highest elevation (in meters) of New Guinea?\nIntermediate answer: The highest elevation (in meters) of New Guinea is 4,884 meters.\nSo the final answer is: 4,884 meters.\n'], 'decompsition_steps': [[{'question': 'What is the second largest island in the world?', 'answer': 'The second largest island in the world is New Guinea.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the highest elevation (in meters) of New Guinea?', 'answer': 'The highest elevation (in meters) of New Guinea is 4,884 meters.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '4,884 meters.'}]], 'traces_entailments': None}",,"['4,884 meters']",0,0,0,0,70,What is the highest elevation (in meters) of the second largest island in the world?,"4,509 m",,"
Are follow up questions needed here: Yes.
Follow up: What is the second largest island in the world?
Intermediate answer: The second largest island in the world is New Guinea.
Follow up: What is the highest elevation (in meters) of New Guinea?
Intermediate answer: The highest elevation (in meters) of New Guinea is 4,884 meters.
So the final answer is: 4,884 meters.
"
66,"{'question': 'When did the first prime minister of the Russian Empire come into office?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the first prime minister of the Russian Empire?\nIntermediate answer: The first prime minister of the Russian Empire was Pyotr Arkadyevich Stolypin.\nFollow up: When did Pyotr Arkadyevich Stolypin come into office?\nIntermediate answer: Pyotr Arkadyevich Stolypin came into office on July 21, 1906.\nSo the final answer is: July 21, 1906.\n'], 'decompsition_steps': [[{'question': 'Who was the first prime minister of the Russian Empire?', 'answer': 'The first prime minister of the Russian Empire was Pyotr Arkadyevich Stolypin.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When did Pyotr Arkadyevich Stolypin come into office?', 'answer': 'Pyotr Arkadyevich Stolypin came into office on July 21, 1906.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'July 21, 1906.'}]], 'traces_entailments': None}",,"['July 21, 1906']",0,0,0,0,71,When did the first prime minister of the Russian Empire come into office?,"November 6, 1905",,"
Are follow up questions needed here: Yes.
Follow up: Who was the first prime minister of the Russian Empire?
Intermediate answer: The first prime minister of the Russian Empire was Pyotr Arkadyevich Stolypin.
Follow up: When did Pyotr Arkadyevich Stolypin come into office?
Intermediate answer: Pyotr Arkadyevich Stolypin came into office on July 21, 1906.
So the final answer is: July 21, 1906.
"
67,"{'question': 'What is the fastest air-breathing manned aircraft mostly made out of?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the fastest air-breathing manned aircraft?\nIntermediate answer: The fastest air-breathing manned aircraft is the SR-71 Blackbird.\nFollow up: What is the SR-71 Blackbird mostly made out of?\nIntermediate answer: The SR-71 Blackbird is mostly made out of titanium.\nSo the final answer is: Titanium.\n'], 'decompsition_steps': [[{'question': 'What is the fastest air-breathing manned aircraft?', 'answer': 'The fastest air-breathing manned aircraft is the SR-71 Blackbird.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the SR-71 Blackbird mostly made out of?', 'answer': 'The SR-71 Blackbird is mostly made out of titanium.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Titanium.'}]], 'traces_entailments': None}",,['Titanium'],1,1,1,1,72,What is the fastest air-breathing manned aircraft mostly made out of?,Titanium,,"
Are follow up questions needed here: Yes.
Follow up: What is the fastest air-breathing manned aircraft?
Intermediate answer: The fastest air-breathing manned aircraft is the SR-71 Blackbird.
Follow up: What is the SR-71 Blackbird mostly made out of?
Intermediate answer: The SR-71 Blackbird is mostly made out of titanium.
So the final answer is: Titanium.
"
68,"{'question': 'How much protein in four boiled egg yolks?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: How many grams of protein are in four boiled egg yolks?\nIntermediate answer: There are 12 grams of protein in four boiled egg yolks.\nFollow up: How many grams are in a boiled egg yolk?\nIntermediate answer: There are 3.6 grams of protein in a boiled egg yolk.\nSo the final answer is: 12 grams.\n'], 'decompsition_steps': [[{'question': 'How many grams of protein are in four boiled egg yolks?', 'answer': 'There are 12 grams of protein in four boiled egg yolks.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'How many grams are in a boiled egg yolk?', 'answer': 'There are 3.6 grams of protein in a boiled egg yolk.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '12 grams.'}]], 'traces_entailments': None}",,['12 grams'],0,0,0,0,73,How much protein in four boiled egg yolks?,10.8,,"
Are follow up questions needed here: Yes.
Follow up: How many grams of protein are in four boiled egg yolks?
Intermediate answer: There are 12 grams of protein in four boiled egg yolks.
Follow up: How many grams are in a boiled egg yolk?
Intermediate answer: There are 3.6 grams of protein in a boiled egg yolk.
So the final answer is: 12 grams.
"
69,"{'question': 'Who wrote the novel on which the longest running show in Broadway history is based on?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the longest running show in Broadway history?\nIntermediate answer: The longest running show in Broadway history is Phantom of the Opera.\nFollow up: Who wrote the novel on which Phantom of the Opera is based on?\nIntermediate answer: The novel on which Phantom of the Opera is based on is The Phantom of the Opera by Gaston Leroux.\nSo the final answer is: Gaston Leroux.\n'], 'decompsition_steps': [[{'question': 'What is the longest running show in Broadway history?', 'answer': 'The longest running show in Broadway history is Phantom of the Opera.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who wrote the novel on which Phantom of the Opera is based on?', 'answer': 'The novel on which Phantom of the Opera is based on is The Phantom of the Opera by Gaston Leroux.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Gaston Leroux.'}]], 'traces_entailments': None}",,['Gaston Leroux'],1,1,1,1,74,Who wrote the novel on which the longest running show in Broadway history is based on?,Gaston Leroux,,"
Are follow up questions needed here: Yes.
Follow up: What is the longest running show in Broadway history?
Intermediate answer: The longest running show in Broadway history is Phantom of the Opera.
Follow up: Who wrote the novel on which Phantom of the Opera is based on?
Intermediate answer: The novel on which Phantom of the Opera is based on is The Phantom of the Opera by Gaston Leroux.
So the final answer is: Gaston Leroux.
"
70,"{'question': 'When did the person who delivered the Gettysburg Address die?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who delivered the Gettysburg Address?\nIntermediate answer: The person who delivered the Gettysburg Address was Abraham Lincoln.\nFollow up: When did Abraham Lincoln die?\nIntermediate answer: Abraham Lincoln died on April 15, 1865.\nSo the final answer is: April 15, 1865.\n'], 'decompsition_steps': [[{'question': 'Who delivered the Gettysburg Address?', 'answer': 'The person who delivered the Gettysburg Address was Abraham Lincoln.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When did Abraham Lincoln die?', 'answer': 'Abraham Lincoln died on April 15, 1865.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'April 15, 1865.'}]], 'traces_entailments': None}",,"['April 15, 1865']",1,1,1,1,75,When did the person who delivered the Gettysburg Address die?,"April 15, 1865",,"
Are follow up questions needed here: Yes.
Follow up: Who delivered the Gettysburg Address?
Intermediate answer: The person who delivered the Gettysburg Address was Abraham Lincoln.
Follow up: When did Abraham Lincoln die?
Intermediate answer: Abraham Lincoln died on April 15, 1865.
So the final answer is: April 15, 1865.
"
71,"{'question': 'In what year was the tallest lattice tower completed?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the tallest lattice tower?\nIntermediate answer: The tallest lattice tower is the Eiffel Tower.\nFollow up: When was the Eiffel Tower completed?\nIntermediate answer: The Eiffel Tower was completed in 1889.\nSo the final answer is: 1889.\n'], 'decompsition_steps': [[{'question': 'What is the tallest lattice tower?', 'answer': 'The tallest lattice tower is the Eiffel Tower.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was the Eiffel Tower completed?', 'answer': 'The Eiffel Tower was completed in 1889.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1889.'}]], 'traces_entailments': None}",,['1889'],0,0,0,0,76,In what year was the tallest lattice tower completed?,2012,,"
Are follow up questions needed here: Yes.
Follow up: What is the tallest lattice tower?
Intermediate answer: The tallest lattice tower is the Eiffel Tower.
Follow up: When was the Eiffel Tower completed?
Intermediate answer: The Eiffel Tower was completed in 1889.
So the final answer is: 1889.
"
72,"{'question': 'When did the president who set the precedent of a two term limit leave office?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the president who set the precedent of a two term limit?\nIntermediate answer: The president who set the precedent of a two term limit was George Washington.\nFollow up: When did George Washington leave office?\nIntermediate answer: George Washington left office on March 4, 1797.\nSo the final answer is: March 4, 1797.\n'], 'decompsition_steps': [[{'question': 'Who was the president who set the precedent of a two term limit?', 'answer': 'The president who set the precedent of a two term limit was George Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When did George Washington leave office?', 'answer': 'George Washington left office on March 4, 1797.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'March 4, 1797.'}]], 'traces_entailments': None}",,"['March 4, 1797']",1,1,1,1,77,When did the president who set the precedent of a two term limit leave office?,"March 4, 1797",,"
Are follow up questions needed here: Yes.
Follow up: Who was the president who set the precedent of a two term limit?
Intermediate answer: The president who set the precedent of a two term limit was George Washington.
Follow up: When did George Washington leave office?
Intermediate answer: George Washington left office on March 4, 1797.
So the final answer is: March 4, 1797.
"
73,"{'question': ""What's the capital of the state that Harvard University is in?"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nAre follow up questions needed here: Yes.\nFollow up: What state is Harvard University in?\nIntermediate answer: Harvard University is in Massachusetts.\nFollow up: What's the capital of Massachusetts?\nIntermediate answer: The capital of Massachusetts is Boston.\nSo the final answer is: Boston.\n""], 'decompsition_steps': [[{'question': 'What state is Harvard University in?', 'answer': 'Harvard University is in Massachusetts.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': ""What's the capital of Massachusetts?"", 'answer': 'The capital of Massachusetts is Boston.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Boston.'}]], 'traces_entailments': None}",,['Boston'],1,1,1,1,78,What's the capital of the state that Harvard University is in?,Boston,,"
Are follow up questions needed here: Yes.
Follow up: What state is Harvard University in?
Intermediate answer: Harvard University is in Massachusetts.
Follow up: What's the capital of Massachusetts?
Intermediate answer: The capital of Massachusetts is Boston.
So the final answer is: Boston.
"
74,"{'question': ""For which club did the winner of the 2007 Ballon d'Or play for in 2012?"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nAre follow up questions needed here: Yes.\nFollow up: Who won the 2007 Ballon d'Or?\nIntermediate answer: The winner of the 2007 Ballon d'Or was Kaka.\nFollow up: For which club did Kaka play in 2012?\nIntermediate answer: Kaka played for Real Madrid in 2012.\nSo the final answer is: Real Madrid.\n""], 'decompsition_steps': [[{'question': ""Who won the 2007 Ballon d'Or?"", 'answer': ""The winner of the 2007 Ballon d'Or was Kaka."", 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'For which club did Kaka play in 2012?', 'answer': 'Kaka played for Real Madrid in 2012.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Real Madrid.'}]], 'traces_entailments': None}",,['Real Madrid'],1,1,1,1,79,For which club did the winner of the 2007 Ballon d'Or play for in 2012?,Real Madrid,,"
Are follow up questions needed here: Yes.
Follow up: Who won the 2007 Ballon d'Or?
Intermediate answer: The winner of the 2007 Ballon d'Or was Kaka.
Follow up: For which club did Kaka play in 2012?
Intermediate answer: Kaka played for Real Madrid in 2012.
So the final answer is: Real Madrid.
"
75,"{'question': 'Who is the mother of the father of George Washington?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who is the father of George Washington?\nIntermediate answer: The father of George Washington is Augustine Washington.\nFollow up: Who is the mother of Augustine Washington?\nIntermediate answer: The mother of Augustine Washington is Mary Ball Washington.\nSo the final answer is: Mary Ball Washington.\n'], 'decompsition_steps': [[{'question': 'Who is the father of George Washington?', 'answer': 'The father of George Washington is Augustine Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the mother of Augustine Washington?', 'answer': 'The mother of Augustine Washington is Mary Ball Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Mary Ball Washington.'}]], 'traces_entailments': None}",,['Mary Ball Washington'],0,0,0,0,80,Who is the mother of the father of George Washington?,Mildred Warner,,"
Are follow up questions needed here: Yes.
Follow up: Who is the father of George Washington?
Intermediate answer: The father of George Washington is Augustine Washington.
Follow up: Who is the mother of Augustine Washington?
Intermediate answer: The mother of Augustine Washington is Mary Ball Washington.
So the final answer is: Mary Ball Washington.
"
76,"{'question': 'What is the nickname for the state that Mount Rainier is located in?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the state that Mount Rainier is located in?\nIntermediate answer: The state that Mount Rainier is located in is Washington.\nFollow up: What is the nickname for Washington?\nIntermediate answer: The nickname for Washington is the Evergreen State.\nSo the final answer is: The Evergreen State.\n'], 'decompsition_steps': [[{'question': 'What is the state that Mount Rainier is located in?', 'answer': 'The state that Mount Rainier is located in is Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the nickname for Washington?', 'answer': 'The nickname for Washington is the Evergreen State.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'The Evergreen State.'}]], 'traces_entailments': None}",,['The Evergreen State'],1,1,1,1,81,What is the nickname for the state that Mount Rainier is located in?,Evergreen State,,"
Are follow up questions needed here: Yes.
Follow up: What is the state that Mount Rainier is located in?
Intermediate answer: The state that Mount Rainier is located in is Washington.
Follow up: What is the nickname for Washington?
Intermediate answer: The nickname for Washington is the Evergreen State.
So the final answer is: The Evergreen State.
"
77,"{'question': 'Who was the father of the father of behaviorism?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the father of behaviorism?\nIntermediate answer: The father of behaviorism was John B. Watson.\nFollow up: Who was the father of John B. Watson?\nIntermediate answer: The father of John B. Watson was John Broadus Watson.\nSo the final answer is: John Broadus Watson.\n'], 'decompsition_steps': [[{'question': 'Who was the father of behaviorism?', 'answer': 'The father of behaviorism was John B. Watson.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who was the father of John B. Watson?', 'answer': 'The father of John B. Watson was John Broadus Watson.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'John Broadus Watson.'}]], 'traces_entailments': None}",,['John Broadus Watson'],0.3333333333,0.3333333333,0.3333333333,0.3333333333,82,Who was the father of the father of behaviorism?,Pickens Butler Watson,,"
Are follow up questions needed here: Yes.
Follow up: Who was the father of behaviorism?
Intermediate answer: The father of behaviorism was John B. Watson.
Follow up: Who was the father of John B. Watson?
Intermediate answer: The father of John B. Watson was John Broadus Watson.
So the final answer is: John Broadus Watson.
"
